#gene_symbol	NM_ID
A2M	NM_000014.4
NRXN2	NM_138732.2
NSD1	NM_022455.4
NSDHL	NM_015922.2
NSUN2	NM_017755.5
NSUN7	NM_024677.4
NT5C3	NM_016489.11
NT5E	NM_002526.3
NTF3	NM_002527.4
NTF4	NM_006179.4
NTHL1	NM_002528.5
NTNG1	NM_014917.2
NTRK1	NM_001012331.1
NTRK2	NM_006180.3
NTRK3	NM_001012338.1
ntrk3i1	NM_001012338.1
NUAK1	NM_014840.2
NUBPL	NM_025152.2
NUDC	NM_006600.2
NUDT1	NM_002452.3
NUDT19	NM_001105570.1
NUDT6	NM_007083.3
NUP155	NM_153485.1
NUP62	NM_153719.3
NXNL1	NM_138454.1
NYX	NM_022567.2
O3FAR1	NM_181745.3
OAS1	NM_016816.2
oas1i3	NM_001032409.1
OAS2	NM_016817.2
OAT	NM_000274.3
OBSCN	NM_052843.2
OBSL1	NM_015311.2
OCA2	NM_000275.2
OCLN	NM_002538.3
OCRL	NM_000276.3
ODC1	NM_002539.1
ODZ4	NM_001098816.2
OFD1	NM_003611.2
ofd1_2	Y16355.1
OGG1	NM_002542.5
OLFM2	NM_058164.2
OLR1	NM_002543.3
OMG	NM_002544.4
OPA1	NM_015560.2
opa1tv8	NM_130837.2
OPA3	NM_025136.3
OPHN1	NM_002547.2
OPN1LW	NM_020061.4
OPN1MW	NM_000513.2
OPN1SW	NM_001708.2
OPN4	NM_001030015.2
OPRD1	NM_000911.3
OPRK1	NM_000912.3
OPRL1	NM_182647.2
OPRM1	NM_000914.3
OPTC	NM_014359.3
OPTN	NM_021980.4
OR10C1	NM_013941.3
OR10X1	NM_001004477.1
OR10Z1	NM_001004478.1
OR12D2	NM_013936.3
OR13G1	NM_001005487.1
OR1B1	NM_001004450.1
OR1S1	NM_001004458.1
OR2J1	AL645937.1
OR2T5	NM_001004697.1
OR4X1	NM_001004726.1
OR51F1	NM_001004752.1
OR51G1	NM_001005237.1
OR52B4	NM_001005161.3
OR52H1	NM_001005289.1
OR52N4	NM_001005175.2
OR5AC2	NM_054106.1
OR5H6	NM_001005479.1
OR6Q1	NM_001005186.2
OR6Y1	NM_001005189.1
OR8H1	NM_001005199.1
OR8K3	NM_001005202.1
ORAI1	NM_032790.3
ORC1	NM_004153.3
ORC4	NM_002552.4
ORC6	NM_014321.3
orf15	NM_001034853.1
ORMDL3	NM_139280.2
OSMR	NM_003999.2
OSR1	NM_145260.2
OSTM1	NM_014028.3
OTC	NM_000531.5
OTOA	NM_144672.3
OTOF	NM_194248.2
OTOG	XM_291816.8
OTOGL	NM_173591.3
OTOR	NM_020157.2
OTX2	NM_172337.1
OVCH2	NM_198185.2
OVGP1	NM_002557.3
OXCT1	NM_000436.3
OXTR	NM_000916.3
p14arf	NM_058195.3
P2RX1	NM_002558.2
P2RX2	NM_174873.1
P2RX4	NM_002560.2
P2RX5	NM_002561.3
P2RX7	NM_002562.5
P2RY11	NM_002566.4
P2RY12	NM_022788.3
P2RY4	NM_002565.3
PABPC1	NM_002568.3
PABPN1	NM_004643.3
PACRG	NM_152410.2
PACS1	NM_018026.2
PADI4	NM_012387.2
PAFAH1B1	NM_000430.3
PAH	NM_000277.1
PAK3	NM_002578.3
PAK7	NM_020341.3
PALB2	NM_024675.3
PANK2	NM_153638.2
PAPD7	NM_006999.4
PAPSS2	NM_004670.3
PARD3B	NM_152526.5
PARD6A	NM_016948.2
PARK2	NM_004562.2
PARK7	NM_007262.4
PARL	NM_018622.5
PARP1	NM_001618.3
PARP2	NM_005484.3
PASK	NM_015148.2
PAWR	NM_002583.2
PAX2	NM_003987.3
pax2tvc	NM_003988.3
PAX3	NM_181457.3
PAX4	NM_006193.2
PAX5	NM_016734.1
PAX6	NM_000280.3
pax6tv2	NM_001604.4
PAX8	NM_003466.3
PAX9	NM_006194.3
PBX3	NM_006195.5
PBX4	NM_025245.2
PC	NM_000920.3
PCBD1	NM_000281.2
PCCA	NM_000282.3
PCCB	NM_000532.4
PCDH15	NM_033056.3
pcdh15tvi	NM_001142769.1
pcdh15tvk	NM_001142771.1
PCDH19	NM_001184880.1
PCDHA13	NM_018904.2
PCDHB16	NM_020957.1
PCDHB4	NM_018938.2
PCDHGA11	NM_018914.2
PCK1	NM_002591.3
PCM1	NM_006197.3
PCMT1	NM_005389.2
PCNT	NM_006031.5
PCOLCE	NM_002593.3
PCSK1	NM_000439.4
PCSK2	NM_002594.3
PCSK9	NM_174936.3
PDCD1	NM_005018.2
PDCD10	NM_145860.1
PDCD5	NM_004708.3
PDE11A	NM_016953.3
PDE4D	NM_001104631.1
PDE6A	NM_000440.2
PDE6B	NM_000283.3
PDE6C	NM_006204.3
PDE6G	NM_002602.3
PDE6H	NM_006205.2
PDE7B	NM_018945.3
PDE8B	NM_003719.3
PDGFC	NM_016205.2
PDGFD	NM_025208.4
PDGFRA	NM_006206.4
PDGFRB	NM_002609.3
PDHA1	NM_000284.3
PDHB	NM_000925.3
PDHX	NM_003477.2
PDLIM3	NM_014476.4
PDLIM5	NM_006457.3
PDP1	NM_018444.3
PDPK1	NM_002613.3
PDSS1	NM_014317.3
PDSS2	NM_020381.3
PDX1	NM_000209.3
PDYN	NM_024411.4
PDZD7	NM_001195263.1
PEAR1	NM_001080471.1
PECAM1	NM_000442.4
PECR	NM_018441.5
PEMT	NM_007169.2
PENK	NM_006211.3
PEPD	NM_000285.3
PER1	NM_002616.2
PER2	NM_022817.2
PER3	NM_016831.1
PEX1	NM_000466.2
PEX10	NM_153818.1
PEX11B	NM_003846.2
PEX12	NM_000286.2
PEX13	NM_002618.3
PEX14	NM_004565.2
PEX16	NM_004813.2
PEX19	NM_002857.3
PEX2	NM_000318.2
PEX26	NM_017929.5
PEX3	NM_003630.2
PEX5	NM_001131025.1
PEX6	NM_000287.3
PEX7	NM_000288.3
PFAS	NM_012393.2
PFKM	NM_000289.5
PFN1	NM_005022.2
PGAM1	NM_002629.2
PGAM2	NM_000290.3
PGAM4	NM_001029891.2
PGBD1	NM_032507.3
PGD	NM_002631.2
PGK1	NM_000291.3
PGM1	NM_002633.2
PGR	NM_000926.4
PGRMC1	NM_006667.3
PHACTR1	NM_030948.2
PHB	NM_002634.2
PHEX	NM_000444.4
PHF11	NM_001040443.1
PHF2	NM_005392.3
PHF3	NM_015153.2
PHF6	NM_032458.2
PHF8	NM_015107.2
PHGDH	NM_006623.3
PHIP	NM_017934.5
PHKA1	NM_002637.3
PHKA2	NM_000292.2
PHKB	NM_000293.2
PHKG2	NM_000294.2
PHLPP2	NM_015020.2
PHOX2A	NM_005169.3
PHOX2B	NM_003924.3
PHYH	NM_006214.3
PI3	NM_002638.3
PIAS1	NM_016166.1
PICALM	NM_007166.3
PICK1	NM_012407.3
PIEZO1	NM_001142864.2
PIEZO2	NM_022068.2
PIF1	NM_025049.2
PIGA	NM_002641.3
PIGL	NM_004278.3
PIGM	NM_145167.2
PIGN	NM_176787.4
PIGO	NM_032634.3
PIGR	NM_002644.3
PIGV	NM_017837.3
PIK3C2G	NM_004570.4
PIK3C3	NM_002647.2
PIK3CA	NM_006218.2
PIK3CB	NM_006219.1
PIK3CD	NM_005026.3
PIK3CG	NM_002649.2
PIK3R1	NM_181523.2
PIK3R2	NM_005027.2
PIK3R4	NM_014602.2
PIK3R5	NM_001142633.1
PIKFYVE	NM_015040.3
PIN1	NM_006221.3
PINK1	NM_032409.2
PIP4K2A	NM_005028.4
PIP5K1C	NM_012398.2
PITPNM3	NM_031220.3
PITX1	NM_002653.4
PITX2	NM_153427.2
PITX3	NM_005029.3
PIWIL3	NM_001008496.2
PIWIL4	NM_152431.2
PKD1	NM_001009944.2
PKD1L1	NM_138295.3
PKD2	NM_000297.3
PKHD1	NM_138694.3
PKLR	NM_000298.5
PKM	NM_002654.4
PKN3	NM_013355.3
PKNOX1	NM_004571.3
PKP1	NM_001005337.2
PKP2	NM_004572.3
PLA2G10	NM_003561.1
PLA2G2A	NM_000300.3
PLA2G2D	NM_012400.2
PLA2G3	NM_015715.3
PLA2G4A	NM_024420.2
PLA2G4C	NM_003706.2
PLA2G5	NM_000929.2
PLA2G6	NM_003560.2
PLA2G7	NM_005084.3
PLAGL1	NM_001080951.1
PLAT	NM_000930.3
PLAU	NM_002658.3
PLAUR	NM_002659.3
PLCB4	NM_000933.3
PLCD1	NM_001130964.1
PLCD4	NM_032726.3
PLCE1	NM_016341.3
PLCG2	NM_002661.2
PLCZ1	NM_033123.2
PLD2	NM_002663.3
PLEC	NM_000445.3
plec1f	NM_201378.2
PLEKHG4	NM_001129727.2
PLEKHG5	NM_020631.3
PLEKHH1	NM_020715.2
PLEKHM1	NM_014798.2
PLG	NM_000301.3
PLIN1	NM_002666.4
PLIN4	NM_001080400.1
PLN	NM_002667.3
PLOD1	NM_000302.3
PLOD2	NM_182943.2
PLOD3	NM_001084.4
PLP1	NM_000533.3
PLP2	NM_002668.2
PLTP	NM_006227.3
PLXNB1	NM_002673.4
PLXND1	NM_015103.2
PMAIP1	NM_021127.2
PML	NM_033238.2
pml4	NM_033250.2
PMM2	NM_000303.2
PMP22	NM_000304.2
PMS1	NM_000534.4
PMS2	NM_000535.5
PNKD	NM_015488.4
PNKP	NM_007254.3
PNMT	NM_002686.3
PNP	NM_000270.3
PNPLA1	NM_001145717.1
PNPLA2	NM_020376.3
PNPLA3	NM_025225.2
PNPLA6	NM_006702.4
PNPO	NM_018129.3
PNPT1	NM_033109.3
POC1A	NM_015426.4
POF1B	NM_024921.3
POGZ	NM_015100.3
POLB	NM_002690.1
POLD1	NM_002691.2
POLE	NM_006231.2
POLE2	NM_002692.3
POLG	NM_002693.2
POLG2	NM_007215.3
POLH	NM_006502.2
POLL	NM_013274.3
POLR1C	NM_203290.2
POLR1D	NM_015972.3
POLR2A	NM_000937.4
POLR2E	NM_002695.3
POLR2M	NM_015532.3
POLR3A	NM_007055.3
POLR3B	NM_018082.5
POLRMT	NM_005035.3
POMC	NM_001035256.1
POMGNT1	NM_017739.3
POMT1	NM_007171.3
POMT2	NM_013382.5
PON1	NM_000446.5
PON2	NM_000305.2
PON3	NM_000940.2
POP1	NM_015029.2
POR	NM_000941.2
PORCN	NM_203475.1
POSTN	NM_006475.2
POTEH	NM_001136213.1
POU1F1	NM_000306.2
POU3F4	NM_000307.3
POU4F3	NM_002700.2
POU5F1	NM_203289.4
POU5F1B	NM_001159542.1
POU6F2	NM_007252.3
PPARA	NM_005036.4
PPARD	NM_006238.4
PPARG	NM_015869.4
PPARGC1A	NM_013261.3
PPARGC1B	NM_133263.3
PPAT	NM_002703.4
PPIA	NM_021130.3
PPIB	NM_000942.4
PPIG	NM_004792.2
PPM1D	NM_003620.3
PPOX	NM_000309.3
PPP1R15B	NM_032833.3
PPP1R1A	NM_006741.3
PPP1R3A	NM_002711.3
PPP1R3C	NM_005398.4
PPP2R1B	NM_002716.4
PPP2R5D	NM_006245.2
PPT1	NM_000310.3
PQBP1	NM_005710.2
pragmin	NM_001080826.1
PRB1	NM_005039.3
PRB3	NM_006249.4
PRB4	NM_002723.3
PRCD	NM_001077620.2
PRCP	NM_005040.2
PRDM2	NM_012231.4
PRDM5	NM_018699.2
PRDM8	NM_020226.3
PRDM9	NM_020227.2
PRF1	NM_001083116.1
PRG4	NM_005807.3
PRICKLE1	NM_153026.2
PRICKLE2	NM_198859.3
PRKAA2	NM_006252.3
PRKACA	NM_002730.3
PRKAG2	NM_016203.3
PRKAG3	NM_017431.2
PRKAR1A	NM_002734.3
PRKCB	NM_212535.2
PRKCG	NM_002739.3
PRKCH	NM_006255.3
PRKCSH	NM_002743.2
PRKD3	NM_005813.3
PRKDC	NM_006904.6
PRKRA	NM_003690.4
PRL	NM_000948.4
PRLHR	NM_004248.2
PRLR	NM_000949.5
PRM1	NM_002761.2
PRM2	NM_002762.2
PRMT10	NM_138364.2
PRMT3	NM_005788.3
PRND	NM_012409.2
PRNP	NM_000311.3
PROC	NM_000312.3
PROCR	NM_006404.3
PRODH	NM_016335.4
PROK1	NM_032414.2
PROK2	NM_001126128.1
PROKR1	NM_138964.2
PROKR2	NM_144773.2
PROM1	NM_006017.2
PROP1	NM_006261.4
PROS1	NM_000313.3
PROX2	NM_001243007.1
PROZ	NM_003891.1
PRPF3	NM_004698.2
PRPF31	NM_015629.3
PRPF39	NM_017922.3
PRPF6	NM_012469.3
PRPF8	NM_006445.3
PRPH	NM_006262.3
PRPH2	NM_000322.4
PRPS1	NM_002764.3
PRRC2A	NM_080686.2
PRRT2	NM_145239.2
PRRX1	NM_022716.2
PRSS1	NM_002769.4
PRSS12	NM_003619.3
PRSS2	NM_002770.2
PRSS53	NM_001039503.2
PRSS56	NM_001195129.1
PRSS8	NM_002773.3
PRX	NM_181882.2
PSAP	NM_002778.2
PSAT1	NM_058179.2
PSCA	NM_005672.4
PSEN1	NM_000021.3
PSEN2	NM_000447.2
PSENEN	NM_172341.1
PSG2	NM_031246.3
PSMA6	NM_002791.1
PSMA7	NM_002792.2
PSMB8	NM_148919.3
PSMB9	NM_002800.4
PSMC3IP	NM_016556.2
PSMD7	NM_002811.4
PSORS1C1	NM_014068.2
PSORS1C2	NM_014069.2
PSPH	NM_004577.3
PSPN	NM_004158.2
PSTPIP1	NM_003978.3
PTAFR	NM_000952.4
PTCD1	NM_015545.3
PTCH1	NM_000264.3
ptch1am	NM_001083602.1
PTCH2	NM_003738.4
PTCHD1	NM_173495.2
PTCHD3	NM_001034842.3
PTEN	NM_000314.4
PTF1A	NM_178161.2
PTGDR	NM_000953.2
PTGDR2	NM_004778.2
PTGDS	NM_000954.5
PTGER2	NM_000956.3
PTGER4	NM_000958.2
PTGES2	NM_025072.5
PTGIR	NM_000960.3
PTGIS	NM_000961.3
PTGS1	NM_000962.2
PTGS2	NM_000963.2
PTH	NM_000315.2
PTH1R	NM_000316.2
PTHLH	NM_198965.1
PTK7	NM_152881.2
PTPN1	NM_002827.2
PTPN11	NM_002834.3
PTPN13	NM_080685.2
PTPN2	NM_002828.3
PTPN21	NM_007039.3
PTPN22	NM_015967.5
PTPN6	NM_080549.3
PTPRB	NM_001109754.2
PTPRC	NM_002838.3
PTPRCAP	NM_005608.2
PTPRD	NM_002839.3
PTPRF	NM_002840.3
PTPRJ	NM_002843.3
PTPRK	NM_001135648.1
PTPRM	NM_001105244.1
PTPRO	NM_030667.2
PTPRQ	NM_001145026.1
PTRF	NM_012232.5
PTS	NM_000317.2
PUS1	NM_025215.5
PVR	NM_006505.3
PVRL1	NM_002855.4
pvrl1b	NM_203285.1
PVRL4	NM_030916.2
PWWP2A	NM_001130864.1
PXDN	NM_012293.1
PYCR1	NM_006907.2
PYCRL	NM_023078.3
PYGL	NM_002863.4
PYGM	NM_005609.2
PYROXD2	NM_032709.2
PYY	NM_004160.4
PZP	NM_002864.2
QDPR	NM_000320.2
RAB18	NM_021252.3
RAB23	NM_183227.1
RAB27A	NM_004580.4
RAB28	NM_004249.3
RAB2A	NM_002865.2
RAB33B	NM_031296.1
RAB39B	NM_171998.2
RAB3GAP1	NM_012233.2
RAB3GAP2	NM_012414.3
RAB40AL	NM_001031834.1
RAB7A	NM_004637.5
RAB7L1	NM_003929.2
RABGGTA	NM_182836.1
RAC1	NM_018890.3
RAC2	NM_002872.3
RAD21	NM_006265.2
RAD21L1	NM_001136566.2
RAD23B	NM_002874.3
RAD50	NM_005732.3
RAD51	NM_002875.4
RAD51B	NM_133509.3
RAD51C	NM_058216.1
RAD51D	NM_002878.3
RAD52	NM_134424.2
RAD54L	NM_003579.3
RAD9A	NM_004584.2
RAET1L	NM_130900.2
RAF1	NM_002880.3
RAG1	NM_000448.2
RAG2	NM_000536.3
RAI1	NM_030665.3
RALGDS	NM_006266.2
RANBP2	NM_006267.4
RANGRF	NM_016492.4
RAPGEF1	NM_198679.1
RAPGEF4	NM_007023.3
RAPSN	NM_005055.4
RARS2	NM_020320.3
RASA1	NM_002890.1
RASGRP2	NM_153819.1
RASGRP3	NM_001139488.1
RASSF1	NM_007182.4
RAX	NM_013435.2
RAX2	NM_032753.3
RB1	NM_000321.2
RB1CC1	NM_014781.4
RBBP8	NM_002894.2
RBCK1	NM_031229.2
RBM10	NM_005676.4
RBM20	NM_001134363.1
RBM28	NM_018077.2
RBM8A	NM_005105.3
RBMXL2	NM_014469.4
RBP3	NM_002900.2
RBP4	NM_006744.3
RBPJ	NM_005349.2
RD3	NM_183059.2
RDH12	NM_152443.2
RDH5	NM_002905.3
RDX	NM_002906.3
RECQL4	NM_004260.3
REEP1	NM_022912.2
RELN	NM_005045.3
REN	NM_000537.3
REST	NM_005612.4
RET	NM_020975.4
RETN	NM_020415.3
REV3L	NM_002912.3
RFT1	NM_052859.3
RFX2	NM_134433.2
RFX5	NM_000449.3
RFX6	NM_173560.3
RFX8	NM_001145664.1
RFXANK	NM_003721.2
RFXAP	NM_000538.3
RGMA	NM_001166283.1
RGR	NM_001012720.1
RGS2	NM_002923.3
RGS6	NM_004296.5
RGS7	NM_002924.4
RGS9	NM_003835.3
RGS9BP	NM_207391.2
RHAG	NM_000324.2
RHBDF2	NM_024599.5
RHCE	NM_020485.4
RHD	NM_016124.3
RHO	NM_000539.3
RHOB	NM_004040.2
RHOH	NM_004310.3
RHPN2	NM_033103.4
RIMS1	NM_014989.4
RIMS3	NM_014747.2
RIN2	NM_018993.3
RIPK3	NM_006871.3
RIPK4	NM_020639.2
RLBP1	NM_000326.4
RMI1	NM_024945.2
RMND1	NM_017909.2
RNASE3	NM_002935.2
RNASEH2A	NM_006397.2
RNASEH2B	NM_024570.3
RNASEH2C	NM_032193.3
RNASEL	NM_021133.3
RNASET2	NM_003730.4
RNF113A	NM_006978.2
RNF114	NM_018683.3
RNF135	NM_032322.3
RNF168	NM_152617.3
RNF170	NM_001160223.1
RNF213	NM_020914.4
RNF38	NM_022781.4
RNLS	NM_001031709.2
RNU4ATAC	Not available
ROBO2	NM_002942.4
ROBO3	NM_022370.3
ROCK1	NM_005406.2
ROCK2	NM_004850.3
ROGDI	NM_024589.1
ROM1	NM_000327.3
ROPN1L	NM_031916.4
ROR2	NM_004560.3
ROS1	NM_002944.2
RP1	NM_006269.1
RP1L1	NM_178857.5
RP2	NM_006915.2
RP9	NM_203288.1
RPA1	NM_002945.3
RPA2	NM_002946.3
RPA4	NM_013347.4
RPE65	NM_000329.2
RPGR	NM_000328.2
RPGRIP1	NM_020366.3
RPGRIP1L	NM_015272.2
RPIA	NM_144563.2
RPL10	NM_006013.3
RPL11	NM_000975.3
RPL21	NM_000982.3
RPL26	NM_000987.3
RPL35A	NM_000996.2
RPL36	NM_033643.2
RPL5	NM_000969.3
RPN2	NM_002951.3
RPS10	NM_001014.4
RPS15	NM_001018.3
RPS17	NM_001021.3
RPS19	NM_001022.3
RPS24	NM_033022.3
RPS26	NM_001029.3
RPS27A	NM_002954.5
RPS3	NM_001005.3
RPS6KA3	NM_004586.2
RPS6KB1	NM_003161.2
RPS6KB2	NM_003952.2
RPS6KL1	NM_031464.4
RPS7	NM_001011.3
RRH	NM_006583.2
RRM1	NM_001033.3
RRM2B	NM_015713.4
RRP1B	NM_015056.2
RS1	NM_000330.3
RSPH4A	NM_001010892.2
RSPH9	NM_152732.4
RSPO1	NM_001038633.3
RSPO4	NM_001029871.3
RSRC1	NM_016625.2
RTF1	NM_015138.4
RTKN2	NM_145307.2
RTN2	NM_206900.1
RTN3	NM_001265589.1
RTN4R	NM_023004.5
RTN4RL1	NM_178568.2
RTTN	NM_173630.3
RUNX1	NM_001754.4
RUNX2	NM_001024630.3
RUNX3	NM_001031680.2
RUVBL1	NM_003707.2
RXFP2	NM_130806.3
RXRG	NM_006917.4
RYK	NM_001005861.2
RYR1	NM_000540.2
RYR2	NM_001035.2
RYR3	NM_001036.3
S100A14	NM_020672.1
S100B	NM_006272.2
S1PR1	NM_001400.4
S1PR3	NM_005226.2
SAA1	NM_000331.4
SAA2	NM_030754.4
SACS	NM_014363.4
SAG	NM_000541.4
SAGE1	NM_018666.2
SALL1	NM_002968.2
SALL4	NM_020436.3
SAMD4A	NM_001161577.1
SAMD9	NM_017654.3
SAMHD1	NM_015474.3
SAR1B	NM_001033503.2
SARDH	NM_007101.3
SARS2	NM_017827.3
SART1	NM_005146.4
SART3	NM_014706.3
SAT1	NM_002970.2
SATB2	NM_015265.3
SATL1	NM_001012980.2
SBDS	NM_016038.2
SBF1	NM_002972.2
SBF2	NM_030962.3
SBNO1	NM_001167856.1
SC5DL	NM_006918.4
SCAP	NM_012235.2
SCARB1	NM_005505.4
SCARB2	NM_005506.3
SCARF2	NM_153334.4
SCG2	NM_003469.4
SCG3	NM_013243.3
SCGB1A1	NM_003357.4
SCGB1D2	NM_006551.3
SCGB3A2	NM_054023.4
SCN10A	NM_006514.2
SCN1A	NM_001165963.1
SCN1B	NM_001037.4
scn1bb	NM_199037.3
SCN2A	NM_021007.2
SCN2B	NM_004588.4
SCN3A	NM_006922.3
SCN3B	NM_018400.3
SCN4A	NM_000334.4
SCN4B	NM_174934.3
SCN5A	NM_198056.2
SCN8A	NM_014191.2
SCN9A	NM_002977.3
SCNN1A	NM_001038.5
SCNN1B	NM_000336.2
SCNN1G	NM_001039.3
SCO1	NM_004589.2
SCO2	NM_005138.2
SCP2	NM_002979.4
SCRIB	NM_182706.3
SCUBE2	NM_020974.2
SDC3	NM_014654.3
SDCCAG8	NM_006642.3
SDHA	NM_004168.2
SDHAF1	NM_001042631.2
SDHAF2	NM_017841.2
SDHB	NM_003000.2
SDHC	NM_003001.3
SDHD	NM_003002.2
SEC23A	NM_006364.2
SEC23B	NM_006363.4
SEC63	NM_007214.4
SECISBP2	NM_024077.3
SEL1L	NM_005065.4
SELE	NM_000450.2
SELL	NM_000655.4
SELP	NM_003005.3
SELPLG	NM_003006.4
SEMA3A	NM_006080.2
SEMA3D	NM_152754.2
SEMA3E	NM_012431.2
SEMA4A	NM_022367.3
SEMA4C	NM_017789.4
SEMA4G	NM_017893.3
SEMA6D	NM_153618.1
SEMA7A	NM_003612.3
SEP15	NM_004261.3
SEPN1	NM_020451.2
SEPP1	NM_005410.2
SEPSECS	NM_016955.3
SEPT12	NM_144605.3
SEPT9	NM_006640.4
SERAC1	NM_032861.3
serca2b	NM_170665.3
SERPINA1	NM_000295.4
SERPINA10	NM_016186.2
SERPINA3	NM_001085.4
SERPINA6	NM_001756.3
SERPINA7	NM_000354.5
SERPINB11	NM_080475.2
SERPINB3	NM_006919.2
SERPINB5	NM_002639.4
SERPINB6	NM_004568.5
SERPINC1	NM_000488.3
SERPIND1	NM_000185.3
SERPINE1	NM_000602.3
SERPINF1	NM_002615.5
SERPINF2	NM_000934.3
SERPING1	NM_000062.2
SERPINH1	NM_001235.3
SERPINI1	NM_005025.4
SERPINI2	NM_006217.3
SERTAD1	NM_013376.3
SESN2	NM_031459.4
SETBP1	NM_015559.2
SETD2	NM_014159.6
SETD5	NM_001080517.1
SETDB1	NM_001145415.1
SETDB2	NM_031915.2
setdb2i3	uc021rjn.1
SETX	NM_015046.5
SEZ6	NM_178860.4
SEZ6L2	NM_201575.2
SF3B4	NM_005850.4
SFTPA1	NM_005411.4
SFTPA2	NM_001098668.2
SFTPB	NM_198843.2
SFTPC	NM_003018.3
SFTPD	NM_003019.4
SGCA	NM_000023.2
SGCB	NM_000232.4
SGCD	NM_000337.5
sgcdp	NM_172244.2
SGCE	NM_003919.2
SGCG	NM_000231.2
SGK1	NM_005627.3
SGSH	NM_000199.3
SGSM3	NM_015705.4
SH2B1	NM_001145795.1
sh2b1g	NM_001145797.1
SH2B3	NM_005475.2
SH2D1A	NM_002351.4
SH3BP2	NM_003023.4
SH3GL1	NM_003025.3
SH3PXD2B	NM_001017995.2
SH3TC2	NM_024577.3
SHANK2	NM_012309.3
SHANK3	NM_001080420.1
SHBG	NM_001040.3
SHFM1	NM_006304.1
SHH	NM_000193.2
SHMT1	NM_004169.3
SHOC2	NM_007373.3
SHOX	NM_000451.3
shoxb	NM_006883.2
SHROOM3	NM_020859.3
SHROOM4	NM_020717.3
SI	NM_001041.3
SIAE	NM_170601.4
SIGLEC12	NM_053003.2
SIGMAR1	NM_005866.2
SIL1	NM_022464.4
SIPA1	NM_153253.29
SIRT1	NM_012238.4
SIRT3	NM_012239.5
SIRT5	NM_012241.4
SIX1	NM_005982.3
SIX2	NM_016932.4
SIX3	NM_005413.3
SIX5	NM_175875.4
SIX6	NM_007374.2
SKI	NM_003036.3
SKIV2L	NM_006929.4
SLBP	NM_006527.2
SLC10A1	NM_003049.3
SLC10A2	NM_000452.2
SLC11A1	NM_000578.3
SLC11A2	NM_000617.2
slc11a2i1	NM_001174125.1
SLC12A1	NM_000338.2
SLC12A3	NM_000339.2
SLC12A6	NM_133647.1
SLC13A2	NM_001145975.1
SLC14A1	NM_015865.6
SLC14A2	NM_007163.3
SLC15A1	NM_005073.3
SLC15A4	NM_145648.3
SLC16A1	NM_003051.3
SLC16A12	NM_213606.3
SLC16A2	NM_006517.3
SLC17A1	NM_005074.3
SLC17A3	NM_006632.3
SLC17A5	NM_012434.4
SLC17A8	NM_139319.2
SLC18A1	NM_003053.3
SLC19A1	NM_194255.2
SLC19A2	NM_006996.2
SLC19A3	NM_025243.3
SLC1A1	NM_004170.5
SLC1A2	NM_004171.3
SLC1A3	NM_004172.4
SLC20A2	NM_006749.3
SLC22A1	NM_003057.2
SLC22A11	NM_018484.2
SLC22A12	NM_144585.2
SLC22A14	NM_004803.3
SLC22A2	NM_003058.3
SLC22A3	NM_021977.2
SLC22A4	NM_003059.2
SLC22A5	NM_003060.3
SLC22A6	NM_004790.4
SLC22A9	NM_080866.2
SLC23A1	NM_005847.4
SLC24A1	NM_004727.2
SLC24A2	NM_020344.2
SLC24A5	NM_205850.2
SLC25A12	NM_003705.3
SLC25A13	NM_014251.2
SLC25A15	NM_014252.3
SLC25A19	NM_021734.4
SLC25A20	NM_000387.5
SLC25A22	NM_024698.5
SLC25A3	NM_005888.3
SLC25A38	NM_017875.2
SLC25A39	NM_001143780.1
SLC25A4	NM_001151.3
SLC26A10	NM_133489.2
SLC26A2	NM_000112.3
SLC26A3	NM_000111.2
SLC26A4	NM_000441.1
SLC26A5	NM_198999.2
SLC26A6	NM_022911.2
SLC26A9	NM_052934.3
SLC27A4	NM_005094.3
SLC27A5	NM_012254.2
SLC28A1	NM_004213.3
SLC28A2	NM_004212.3
SLC28A3	NM_022127.2
SLC29A1	NM_001078177.1
SLC29A2	NM_001532.2
SLC29A3	NM_018344.5
SLC2A1	NM_006516.2
SLC2A10	NM_030777.3
SLC2A2	NM_000340.1
SLC2A4	NM_001042.2
SLC2A9	NM_020041.2
SLC30A10	NM_018713.2
SLC30A2	NM_001004434.1
SLC30A5	NM_022902.3
SLC30A8	NM_173851.2
SLC31A1	NM_001859.3
SLC33A1	NM_004733.3
SLC34A1	NM_003052.4
SLC34A2	NM_006424.2
SLC34A3	NM_080877.2
SLC35A1	NM_006416.4
SLC35C1	NM_018389.4
SLC35D1	NM_015139.2
SLC36A2	NM_181776.2
SLC37A4	NM_001164277.1
SLC39A13	NM_152264.4
SLC39A4	NM_130849.2
SLC39A5	NM_173596.2
SLC3A1	NM_000341.3
SLC40A1	NM_014585.5
SLC41A1	NM_173854.4
SLC44A2	NM_020428.3
SLC45A2	NM_016180.3
SLC46A1	NM_080669.4
SLC47A1	NM_018242.2
SLC47A2	NM_152908.3
SLC4A1	NM_000342.3
SLC4A11	NM_032034.3
SLC4A3	NM_201574.2
SLC4A4	NM_003759.3
SLC52A2	NM_024531.3
SLC52A3	NM_033409.3
SLC5A1	NM_000343.3
SLC5A11	NM_052944.2
SLC5A2	NM_003041.3
SLC5A5	NM_000453.2
SLC5A7	NM_021815.2
SLC6A1	NM_003042.3
SLC6A11	NM_014229.1
